Date,ID,Module/Feature,Bug Title,Bug Description,Bug Type,Severity,Priority,Preconditions,Steps to Reproduce,Expected Result,Actual Result,Impact,Suggested Fix,Evidence (file:line),Status,Dev. Notes,Tester Status,Tetster Notes
2026-08-05,1,Auth - Route protection,Checkout and payment are served to a logged-out visitor while every my-account route correctly redirects,Requested against a running dev server with no session cookie all four account routes answer 307 to the login redirect - /my-account/ and /my-account/orders/ and /my-account/wallet/ and /my-account/addresses/ - while /cart/ and /cart/checkout/ and /payment/test-slug/ all answer 200 and render. The account routes are guarded because each one checks getAccessTokenFromContext inside getServerSideProps and returns a redirect. Checkout and payment have no such check and rely solely on the withAuth wrapper which cannot fire for them: isProtectedRoute compares router.pathname by strict equality against PROTECTED_ROUTES and neither /cart/checkout nor /payment/[slug] appears in that list. /cart/ differs - it IS in the list so the client wrapper redirects after hydration - which means the customer sees the protected shell flash before being bounced. Confirms code review issue 2 by observation.,Functional,High,P2,Logged out - no session cookie. Site running with NEXT_PUBLIC_SSR set to true.,1. Open a clean private window so no session cookie is present. 2. Request /my-account/orders/ and observe the 307 redirect to the login prompt. 3. Request /cart/checkout/ and then /payment/test-slug/ and observe both return 200 and render the page shell.,Every authenticated-only route behaves like the account routes - redirected server side before any protected markup is produced.,Checkout and payment render for an anonymous visitor and /cart/ renders briefly before the client redirect takes over.,An anonymous visitor reaches the checkout and payment shells. The API still refuses the data so nothing private leaks - but the 401 that follows triggers the global logout path which presents as a confusing dead end - and the guard reads as present in code review while being inert. The /cart/ flash exposes protected chrome before the redirect.,Add a server side token check to the checkout and payment handlers exactly as the account pages do - and add both paths to PROTECTED_ROUTES with prefix matching so the client wrapper stops silently no-opping. Note the fix must hold in the static export build mode where getServerSideProps does not run.,src/guards/authGuard.ts:5-23 ; src/guards/withAuth.tsx:16-25 ; src/pages/cart/checkout/index.tsx:79 ; src/pages/payment/[slug].tsx:62,,,,
,2,Cart - Quantity rules,A product whose minimum quantity is not a multiple of its step is stored below its own minimum,Executing the production offline cart reducer directly with a product configured minQuantity 3 and stepSize 2 and requesting quantity 3 returns a stored quantity of 2 - below the configured minimum. The clamp at src/lib/redux/slices/offlineCartSlice.ts:55-85 first clamps into the min and max and stock window which yields 3 - then the stepSize > 1 branch at :66-73 snaps to an absolute multiple of the step which subtracts the remainder and yields 2 - and the guard at :70 compares the result against stepSize rather than minQuantity so it is never raised back. The stored value is what the cart stepper renders and what is posted to the server on the login sync. Confirms code review issue 18 with the real code rather than by reading. Method - the reducer was executed directly because the backend is blocked in this environment so the cart UI could not be driven end to end.,Functional,Medium,P3,A product configured with a minimum quantity above 1 and a step size above 1 where the minimum is not itself a multiple of the step - minQuantity 3 and stepSize 2 reproduces it.,1. Configure a product with minQuantity 3 and stepSize 2. 2. While logged out add it to the cart requesting quantity 3. 3. Read the quantity held in the offline cart and shown in the stepper.,The quantity respects the minimum and the step together - the nearest valid value at or above 3.,The quantity is snapped down to 2 which is below the configured minimum.,The customer can build a cart that breaks the seller minimum order rule. It surfaces later as a server rejection at the login sync - which then destroys the item through code review issue 17 - or as an order the seller cannot fulfil.,Snap to the step relative to minQuantity and re-clamp upward afterwards so the result is never below minQuantity - and delete the unreachable else branch at :74-82 so a single model applies.,src/lib/redux/slices/offlineCartSlice.ts:55-85,,,,
,3,Cart - Quantity rules,Merging two offline cart lines sums their quantities past the available stock,Executing the production offline cart reducer directly with two lines of quantity 4 for a product with stock 5 and then merging them returns a single line of quantity 8 - sixty percent above the available stock - with the subtotal recalculated to match the inflated quantity. updateOfflineCartItem at src/lib/redux/slices/offlineCartSlice.ts:179-213 handles the case where editing addons changes an item id and merges with a bare addition at :198 then splices the old line at :199. clampQuantity is never applied to that sum although every other write path in the slice applies it - addOfflineCartItem at :126-129 and updateOfflineCartItemQuantity at :164-167 both clamp. Confirms code review issue 21 with the real code. Method - the reducer was executed directly because the backend is blocked in this environment so the cart UI could not be driven end to end.,Functional,Medium,P3,Two offline cart lines for the same variant differing only by addons whose combined quantity exceeds the stock or the maximum quantity.,1. While logged out add a product with addon set A and again with addon set B so two lines exist. 2. Edit one line so its addons match the other and the ids collide. 3. Read the merged quantity against the product stock.,The merged quantity is clamped to the stock and maximum and step rules exactly as every other write path clamps.,The two quantities are summed unchecked so the line exceeds the stock and the subtotal shown to the customer is wrong.,The customer sees a cart quantity and a subtotal that the seller cannot fulfil. It is rejected at the login sync or at checkout which then triggers the item loss described in code review issue 17.,Apply clampQuantity to the summed quantity at :198 exactly as addOfflineCartItem does at :126-129 - ideally by routing every quantity write through one shared helper so a future path cannot skip it.,src/lib/redux/slices/offlineCartSlice.ts:179-213,,,,
,4,Search - Empty state copy,The no-results message renders the raw template placeholder instead of the search term,Loading /products/search/?q=shoes against a running dev server renders the visible text We couldn't find any products matching "{{query}}" - the interpolation placeholder is printed literally rather than substituted. The cause is a variable name mismatch: the locale string at public/locales/en.json:796 is We couldn't find any products matching \"{{query}}\" and expects a variable called query - while the call site at src/pages/products/search/index.tsx:366 passes t("no_products_found_message" - { safeQuery }) which is shorthand for a variable called safeQuery. i18next receives no query key so it leaves the placeholder untouched.,UI/UX,Medium,P3,Any search that returns no results - including every search while the catalogue endpoint is failing.,1. Open /products/search/?q=shoes. 2. Ensure the search returns no results. 3. Read the message under the No products found heading.,The message names the term the customer searched for.,The message shows the literal text {{query}} in quotes.,Every customer who searches for something unavailable sees a broken template string on a high traffic screen - it reads as an unfinished product and gives no confirmation of what was actually searched.,Pass the value under the key the template expects - t("no_products_found_message" - { query: safeQuery }). Check the hi and ar bundles use the same placeholder name.,public/locales/en.json:796 ; src/pages/products/search/index.tsx:366,,,,
,5,Categories - Page copy,The categories page subtitle is a truncated sentence,Loading /categories/ renders the heading All Categories followed by the subtitle Discover our complete collection of - the sentence stops mid phrase with no object. The source string is truncated: public/locales/en.json:919 holds "Discover our complete collection of" while its sibling for brands at :909 is complete as "Discover our complete collection of brands". The Arabic bundle carries two matching strings and the Hindi bundle carries none for this phrase so the defect also differs per locale.,UI/UX,Low,P4,Any visit to the categories listing in English.,1. Open /categories/. 2. Read the subtitle under the page heading.,A complete sentence naming what the collection contains - matching the brands page wording.,The sentence ends with the word of and no object.,A visibly unfinished sentence on a primary navigation page. It also indicates the string was edited without checking the rendered result.,Complete the string at en.json:919 to match the brands wording and verify the hi and ar bundles carry an equivalent - the scan shows Hindi has no matching phrase at all.,public/locales/en.json:909 :919,,,,
,6,Catalog - Missing states,The brands listing renders no empty state and no error state when its fetch fails,Loading /brands/ against a dead catalogue backend renders the page heading and subtitle and then nothing at all before the footer - there is no product or brand grid - no empty state message and no error panel. The equivalent categories page in the same condition does render an empty state reading No Categories Available with an explanatory line and the search page renders its own No products found block. So the blank region is specific to the brands listing rather than a general behaviour. CLAUDE.md section 6.3 requires every screen to ship all four states.,UI/UX,Medium,P3,The catalogue endpoint failing or returning no brands.,1. Make the brands endpoint fail or return an empty set. 2. Open /brands/. 3. Read the area between the subtitle and the footer.,An empty state with a headline and an explanation - or an error state with a retry when the request failed.,The content region is blank with no explanation of any kind.,A customer landing on the brands page during an outage sees an apparently broken page with nothing to act on and no indication whether the catalogue is empty or the request failed.,Add the empty state the categories page already has and an error state with a retry - and take the error from the fetch result so the two cases are distinguishable.,src/pages/brands/index.tsx,,,,
,7,Catalog - Failed fetch,A failed catalogue fetch is presented to the customer as no results rather than an error,With the catalogue backend completely unreachable both /categories/ and /products/search/?q=shoes return HTTP 200 and render their EMPTY states - No Categories Available and No products found respectively - with no indication that anything failed and no retry offered. The customer is told the category list is empty and that their search matched nothing when in fact no request succeeded. This is the observable symptom of code review issue 34 which records the mechanism: the SWR fetcher inside useInfiniteData returns an empty array instead of throwing when a response is unsuccessful so SWR records a success and the hook error is never populated - and the search page does not destructure error at all.,Functional,High,P2,Any failure of the catalogue endpoints - an outage a 500 or a market with no permission to the requested scope.,1. Make the catalogue endpoints fail. 2. Open /categories/ and then /products/search/?q=shoes. 3. Read what each page tells the customer.,An error state with a retry that is clearly distinct from a genuine no-results outcome.,Both render their empty state as though the catalogue is genuinely empty.,Outages are invisible to customers and to anyone watching the storefront - a failing catalogue looks like missing inventory which suppresses retries and hides the incident. It affects every listing built on the shared infinite data hook.,Throw from the fetcher when a response is unsuccessful so SWR populates error - then surface that error at each consumer and render an error state with retry. Keep the empty state strictly for a successful response with zero items.,src/hooks/useInfiniteData.ts:74-78 ; src/pages/products/search/index.tsx:150-156,,,,
,8,SEO - Indexing,The redesign sandbox and design system routes are publicly served with nothing preventing indexing,Requested against a running dev server /redesign/ and /redesign/pdp/ and /design-system/ all return HTTP 200 and none of them emits a robots meta tag - grepping the served HTML for a robots meta returns nothing on all three. public/robots.txt contains no Disallow entry matching either path so they fall under the blanket Allow: / at the top of the file. Absence of a robots meta means indexable by default. These routes render the sandbox mock data from src/redesign/data/mock.ts rather than live catalogue data and there are 22 of them under src/pages/redesign plus the design system page.,SEO,Medium,P3,Any production deployment - the sandbox ships in the same build as the storefront.,1. Request /redesign/ and /redesign/pdp/ and /design-system/. 2. Read the HTTP status and search the response for a robots meta tag. 3. Check public/robots.txt for a matching Disallow.,Internal design routes are excluded from indexing by a noindex meta or a robots.txt Disallow or by not shipping in a production build at all.,All three are served with no robots restriction of any kind.,Search engines can index 23 internal pages carrying placeholder copy and mock product data. They compete with real category and product pages for the same terms and publicly expose unreleased design work. Any that mirror a live screen create genuine duplicate content against the page they were built to replace.,Add Disallow entries for /redesign/ and /design-system/ to the robots.txt template that scripts/update-robots.mjs consumes and emit a noindex meta on those routes. The stronger fix is to exclude the sandbox from production builds so the routes do not exist outside development.,src/pages/redesign/ ; src/pages/design-system.tsx ; public/robots.txt,,,,
,9,SEO - Sitemap,The generated sitemap advertises two routes that return 404,Requested against a running dev server /delivery-zones/ returns 404 and /products/ returns 404 - and both are listed as static routes in the sitemap generator at scripts/generate-sitemap.mjs:18 and :20 with priorities 0.6 and 0.9 respectively. The sitemap is regenerated during npm run build and its location is advertised through the Sitemap directive in robots.txt. /delivery-zones/ has no page directory at all and CLAUDE.md section 9.11 states the feature is deprecated product wide and must not be ported - so the sitemap is advertising a removed feature. /products/ has no index page either since src/pages/products contains only the [slug] detail route and the search route. The other eleven static entries were checked against the filesystem and all resolve.,SEO,Medium,P3,Any production build - the sitemap is generated during npm run build.,1. Run npm run build to regenerate public/sitemap.xml. 2. Read the entries for /delivery-zones/ and /products/. 3. Request both URLs and observe a 404.,Every URL in the sitemap resolves - a sitemap is a statement that these URLs are canonical and worth crawling.,Two of the thirteen static entries return 404 including the one given the highest priority of any catalogue URL.,Crawl budget is spent on URLs that cannot resolve and repeated 404s from a submitted sitemap reduce the trust search engines place in the whole file. Advertising the deprecated delivery-zones path also contradicts an explicit project rule.,Remove both entries. Better - derive the static route list from the pages directory during generation so it cannot drift again - and add a build time assertion that every sitemap URL resolves.,scripts/generate-sitemap.mjs:13-27,,,,
,10,SEO - Canonical URLs,Every canonical URL omits the trailing slash the site actually serves so it points at a redirect,next.config.ts sets trailingSlash true so the storefront serves /about-us/ and answers 308 for /about-us. The canonical tag emitted on that page is <link rel="canonical" href="http://localhost:3002/about-us"> - without the trailing slash. Verified against a running dev server: the canonical target /about-us returns 308 while the served URL /about-us/ returns 200. So the canonical points at a URL that redirects rather than at the final address of the page. The canonical value is built by getCanonicalUrl from the path passed by each page - for example canonical={`/products/${initialProduct.slug}`} at src/pages/products/[slug]/index.tsx:166 - and none of those paths carries a trailing slash.,SEO,Medium,P3,Any page that emits a canonical tag - which is 31 of the 35 non sandbox pages.,1. Open any content page such as /about-us/. 2. Read the canonical link in the head. 3. Request the canonical target and observe a 308 to the slashed form.,The canonical names the exact URL the site serves - with the trailing slash - so it does not redirect.,Every canonical points one redirect away from the real page.,Search engines are told the canonical address of every page is a URL that immediately redirects which weakens consolidation of ranking signals and wastes crawl budget on an extra hop per page. It also disagrees with the sitemap whose entries do carry trailing slashes so the two signals conflict.,Append the trailing slash in getCanonicalUrl when trailingSlash is enabled - one change covers every page - and confirm the result matches the sitemap form so the two agree.,src/SEO/DynamicSEO.tsx:103 :140 ; next.config.ts trailingSlash,,,,
